customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0434-CSFON,Female,0.0,Yes,No,24.66817290281253,Yes,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.60806325787321,,No
1215-FIGMP,Male,0.0,,No,,,Yes,Fiber optic,No,Yes,No,,,No,Month-to-month,Yes,Bank transfer (automatic),80.45014595297006,,No
0526-SXDJP,Male,0.0,Yes,No,81.4618704047422,,,DSL,,Yes,Yes,No,No,No,,No,Bank transfer (automatic),28.666521647695575,2945.7541055673832,No
0557-ASKVU,Female,0.0,Yes,Yes,4.3642260034953,Yes,No,DSL,No,No,Yes,,No,,One year,Yes,Credit card (automatic),48.414153025755795,970.060229144844,No
5698-BQJOH,Female,0.0,,No,9.373663152015856,Yes,Yes,Fiber optic,No,,,No,Yes,Yes,Month-to-month,No,Electronic check,,867.5464824224008,Yes
5122-CYFXA,Female,0.0,No,No,,Yes,No,,No,Yes,No,Yes,Yes,,,,,68.30044268956676,,No
8627-ZYGSZ,Male,0.0,Yes,No,31.767596400367655,Yes,Yes,Fiber optic,No,,,No,No,,One year,Yes,Electronic check,63.35503505196276,3648.640907045469,No
3410-YOQBQ,Female,0.0,No,No,30.169715856039012,Yes,,,No,Yes,Yes,,,Yes,,No,Mailed check,44.22389140718538,2506.117215564769,No
3170-NMYVV,Female,0.0,Yes,Yes,,Yes,No,No,No internet service,No,No internet service,,,No internet service,Two year,No,,-7.355468473613961,910.1680854378441,No
7410-OIEDU,Male,0.0,No,No,7.943313081710654,Yes,No,,,No,Yes,,No,No,Month-to-month,Yes,Mailed check,111.02436935123534,884.9216366586166,No
2273-QCKXA,Male,0.0,No,,11.546501900056313,Yes,No,,No,No,,,,No,Month-to-month,,,43.23231849831751,30.489295920390177,No
0731-EBJQB,Female,0.0,Yes,Yes,60.00861873105555,Yes,No,,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,,Electronic check,,,No
1891-QRQSA,Male,1.0,Yes,Yes,68.88291756515673,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.81059008469948,,No
8028-PNXHQ,Male,0.0,Yes,Yes,72.66492203118221,,Yes,No,,No,No internet service,No internet service,,No internet service,Two year,Yes,Bank transfer (automatic),45.05177610002125,1413.6459055606256,No
5630-AHZIL,Female,0.0,No,Yes,-11.332335954492615,Yes,No,DSL,Yes,No,,Yes,,Yes,,,Bank transfer (automatic),35.81355102479308,156.15172878805626,No
2673-CXQEU,,1.0,No,No,54.21940806828414,Yes,,Fiber optic,,,Yes,No,,Yes,One year,No,,106.40752747353065,6131.360255587027,No
6416-JNVRK,,0.0,,No,57.59895228212503,Yes,No,,No,,No,,No,,One year,No,Credit card (automatic),,2689.1423567572747,No
5590-ZSKRV,Female,0.0,Yes,Yes,0.8409987523024061,Yes,No,,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,,479.2621558895405,No
0191-ZHSKZ,,1.0,No,No,,Yes,,DSL,Yes,Yes,No,,Yes,Yes,Month-to-month,Yes,Electronic check,77.44181528601295,,No
3887-PBQAO,Female,,Yes,,,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,,42.0329926243616,1208.9372705240178,No
5919-TMRGD,Female,0.0,,Yes,5.4868780071588,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,,98.4846201029714,,Yes
8108-UXRQN,Female,,,Yes,17.261619296495756,No,No,DSL,Yes,No,No,No,Yes,Yes,,No,Electronic check,32.39855716656196,568.7831820206345,No
9191-MYQKX,Female,0.0,Yes,No,,Yes,,Fiber optic,No,,Yes,No,No,No,Month-to-month,Yes,,,500.3081185297959,Yes
9919-YLNNG,Female,0.0,,No,40.56437854207836,Yes,,Fiber optic,No,,Yes,,,,Month-to-month,Yes,Bank transfer (automatic),93.08705932853294,,No
0318-ZOPWS,Female,0.0,Yes,No,50.36541807657666,,,No,No internet service,,,,No internet service,No internet service,Two year,,Bank transfer (automatic),11.57248327077918,977.8397044023844,No
4445-ZJNMU,,0.0,No,,14.68007250918243,Yes,,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),,939.1400142350235,No
4808-YNLEU,Female,0.0,Yes,No,28.259507815734075,Yes,No,,Yes,,No,No,,No,One year,Yes,Bank transfer (automatic),,2206.224284239961,No
1862-QRWPE,Female,0.0,Yes,,36.34987576815848,Yes,,,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),5.871257377527909,,No
2796-NNUFI,,0.0,Yes,Yes,61.89979165253327,Yes,No,No,,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,,943.3333456304508,No
3016-KSVCP,Male,0.0,Yes,No,,No,No,,No,No,No,No,Yes,No,Month-to-month,,Mailed check,,1028.379695176284,No
4767-HZZHQ,Male,0.0,,Yes,14.859547263309128,,No,Fiber optic,No,,Yes,No,No,No,Month-to-month,No,,77.22141663078929,2578.806050922293,No
2424-WVHPL,Male,,No,No,14.427469330048508,,No,,No,,,Yes,No,No,Month-to-month,,,66.11830529413709,,No
7233-PAHHL,,0.0,Yes,Yes,80.69491961974089,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,,5709.44100437102,No
6067-NGCEU,Female,0.0,,No,,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,,Yes,Month-to-month,Yes,Credit card (automatic),,7106.606369650966,No
9848-JQJTX,Male,0.0,No,No,80.97040495546297,Yes,Yes,,No,Yes,Yes,No,Yes,,Two year,,Bank transfer (automatic),,,No
8637-XJIVR,,0.0,No,No,22.61657729715658,,Yes,Fiber optic,,No,No,No,No,No,Month-to-month,Yes,Electronic check,,,Yes
9803-FTJCG,,0.0,Yes,Yes,,Yes,Yes,,Yes,Yes,No,Yes,,No,One year,Yes,Credit card (automatic),,4774.276555073058,No
0278-YXOOG,Male,0.0,No,No,,Yes,No,No,,,,No internet service,No internet service,No internet service,Month-to-month,No,,19.080358685591086,,Yes
3212-KXOCR,Male,,No,No,54.11053837617103,Yes,No,,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-5.153857837221285,1118.3577351588358,No
4598-XLKNJ,Female,1.0,Yes,No,6.723939849134563,Yes,,Fiber optic,,Yes,Yes,No,,,,Yes,Electronic check,100.17021223998943,2519.7401061313967,Yes
6380-ARCEH,Male,0.0,No,No,4.446385332286294,Yes,No,,No internet service,No,No internet service,No internet service,,No internet service,,No,,20.89731100449979,1.6537271597492484,No
3679-XASPY,Female,0.0,Yes,Yes,-15.563897510530776,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.939733940611152,,No
7123-WQUHX,Male,0.0,No,,32.62791567371179,Yes,Yes,,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),116.56281069948801,3601.2450181962727,No
5386-THSLQ,Female,1.0,Yes,No,70.77662772199018,No,No,,No,,Yes,No,Yes,No,One year,,Bank transfer (automatic),24.24584204966957,3029.7121943381458,No
3192-NQECA,,0.0,Yes,,,Yes,,Fiber optic,No,Yes,Yes,Yes,Yes,,Two year,Yes,Bank transfer (automatic),93.53124635435591,7585.981769600213,Yes
6180-YBIQI,Male,0.0,,,-7.980916657397655,No,No,DSL,,No,No,No,No,No,Month-to-month,No,,33.56427237235709,96.28831002312229,No
6728-DKUCO,Female,0.0,,Yes,70.81110168876411,,,Fiber optic,Yes,Yes,,No,Yes,Yes,One year,Yes,Electronic check,124.91868076014235,7306.867205960079,No
9750-BOOHV,Female,,No,No,,,,DSL,Yes,No,,No,No,,One year,No,Mailed check,29.9907098231455,922.6858635086346,No
8597-CWYHH,Male,0.0,No,No,20.630585165887027,,,Fiber optic,No,No,No,No,Yes,Yes,One year,,Mailed check,80.10280883110093,3936.6312573995474,No
2848-YXSMW,Male,0.0,Yes,Yes,56.25955394177856,Yes,No,No,,No,,,No internet service,No internet service,Two year,No,Credit card (automatic),22.657773585432185,1353.2041197556182,No
0486-HECZI,,,Yes,No,41.39071741937274,Yes,Yes,Fiber optic,Yes,Yes,No,No,,,Month-to-month,Yes,Electronic check,91.85574562747601,5248.482551495617,Yes
4549-ZDQYY,Female,0.0,,No,61.53785690668454,Yes,No,DSL,Yes,No,Yes,Yes,No,,One year,No,Credit card (automatic),73.50455648436761,3015.3503191102304,No
5712-AHQNN,Female,0.0,No,No,,Yes,No,Fiber optic,No,Yes,,No,,No,,Yes,Electronic check,83.87328854360405,3951.8973415800806,No
4846-WHAFZ,Female,1.0,Yes,No,12.823010933509114,Yes,Yes,Fiber optic,,,No,,No,No,Month-to-month,Yes,,75.64840503725506,2855.273954685639,Yes
5256-SKJGO,,0.0,Yes,Yes,,No,No,,No,Yes,No,Yes,Yes,Yes,Two year,Yes,,70.38704910068492,3403.677366313057,No
3071-VBYPO,Male,0.0,,Yes,,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,,,89.43493861343848,246.61528998108082,No
9560-BBZXK,Female,0.0,No,No,,,No,DSL,Yes,No,,No,,No,,No,,57.14010441969924,1141.054594194076,No
5299-RULOA,Female,0.0,Yes,,1.9068218551401763,Yes,Yes,Fiber optic,Yes,No,No,,Yes,Yes,Month-to-month,Yes,Electronic check,,1041.529773560265,Yes
8402-OOOHJ,Female,0.0,No,No,20.926298728375194,Yes,,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,,816.240470441857,No
9445-ZUEQE,Male,0.0,Yes,Yes,,,Yes,,No,,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),,2166.277533853798,No
1091-SOZGA,Female,0.0,Yes,Yes,50.60511165954408,Yes,Yes,Fiber optic,No,No,Yes,No,,,,Yes,Credit card (automatic),106.10301985017064,,No
2928-HLDBA,Female,0.0,No,No,,Yes,No,,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.660554704277523,121.84438222046435,No
0404-SWRVG,,,No,No,-16.962237376047767,Yes,,Fiber optic,No,No,,No,No,No,Month-to-month,Yes,Electronic check,,226.46228518180078,Yes
6497-TILVL,Female,0.0,,,13.96204303722712,Yes,No,,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.820722972236126,346.7128848130086,No
7219-TLZHO,Female,0.0,Yes,Yes,12.625908585197823,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.268593852750797,53.71737133024769,No
4622-YNKIJ,Male,,No,No,14.629452392717866,Yes,No,Fiber optic,Yes,No,,,Yes,,Two year,Yes,Electronic check,,3043.032303010762,No
4412-YLTKF,Female,1.0,No,No,40.38680253727213,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,,2120.266752204985,Yes
6734-PSBAW,Male,0.0,Yes,No,68.16034221578711,,Yes,No,No internet service,No,,No internet service,No internet service,,,Yes,Bank transfer (automatic),,1722.1704671806147,No
3930-ZGWVE,Male,,No,No,14.943116504082857,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,,No,,39.35622672587025,17.269946043073418,No
2639-UGMAZ,Male,1.0,No,No,53.67408249502675,No,No,DSL,Yes,,No,,Yes,Yes,One year,,Electronic check,82.06717938632065,,No
2876-GZYZC,Female,,No,No,12.1823907101976,Yes,Yes,Fiber optic,No,No,No,,No,,Month-to-month,Yes,Electronic check,72.70858471750401,,No
6207-WIOLX,Female,,Yes,Yes,32.64819634201121,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.86673976583356,1513.0425660534313,Yes
8587-XYZSF,,0.0,No,No,70.68104749650482,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),55.06669071583758,3264.3520235539527,No
3091-FYHKI,Male,0.0,,No,-5.2926535469528275,No,,DSL,No,No,,No,No,Yes,Month-to-month,Yes,,47.996550521011514,35.030959133080415,Yes
2372-HWUHI,Male,0.0,No,No,12.85200557144043,,,,No,No,No,No,No,,Month-to-month,No,Electronic check,21.67269677704416,80.26902296725231,Yes
7799-LGRDP,Female,0.0,No,No,40.553270260792075,Yes,Yes,No,No internet service,No,No internet service,,No internet service,No internet service,,Yes,Credit card (automatic),42.83907416917891,,No
7850-VWJUU,Female,0.0,No,No,8.037070669439608,Yes,No,Fiber optic,,No,,No,,No,Month-to-month,Yes,Bank transfer (automatic),64.24412640644465,1796.9453409508376,No
3774-VBNXY,Female,0.0,,Yes,54.53839298765672,Yes,,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,56.542203016690465,1268.5478111894324,No
6217-KDYWC,Male,0.0,No,Yes,57.607676166495146,Yes,No,No,No internet service,,No internet service,,No internet service,No internet service,,Yes,,30.005556591777395,1171.26860454887,No
0390-DCFDQ,Female,1.0,Yes,No,,Yes,No,Fiber optic,No,No,No,No,,No,Month-to-month,,,97.79660587762679,62.77595657264632,Yes
3146-MSEGF,,1.0,Yes,Yes,89.16820048640368,Yes,Yes,DSL,Yes,Yes,Yes,,Yes,Yes,,,Credit card (automatic),66.1343005784019,,No
4080-OGPJL,Female,0.0,,No,21.19872880928792,Yes,Yes,DSL,Yes,No,,Yes,No,Yes,Month-to-month,No,,63.150978298579005,567.3777303782147,Yes
1095-WGNGG,Female,0.0,Yes,No,61.82026467815003,Yes,Yes,Fiber optic,,Yes,,No,Yes,Yes,Two year,,Bank transfer (automatic),,5967.860694382709,No
2636-SJDOU,Male,0.0,No,No,74.70980509244173,,Yes,Fiber optic,Yes,Yes,No,,,No,One year,,Credit card (automatic),95.03168729129575,5262.0874827790485,No
1131-QQZEB,Male,1.0,Yes,No,94.5606598514955,Yes,Yes,,No internet service,No,,,No internet service,No internet service,,No,Bank transfer (automatic),28.04613845254495,1767.564934950386,No
5716-EZXZN,,0.0,,Yes,,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,,No,,Yes,,94.46072960972549,6413.1929515990805,No
6837-BJYDQ,Male,0.0,,No,14.59484440332339,Yes,,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,7.678105986832941,54.83721689213053,No
2135-RXIHG,Male,0.0,No,,9.130501847486302,Yes,,DSL,No,No,No,,No,No,Month-to-month,Yes,Electronic check,,79.48570334519792,Yes
6440-DKQGE,Male,0.0,No,Yes,16.493688800519724,Yes,No,DSL,,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),61.53355582342546,1939.379461251329,No
3466-BYAVD,Male,,Yes,Yes,10.722236775223442,Yes,,DSL,No,Yes,,Yes,No,Yes,Month-to-month,,,91.96897140138671,1064.0468518163243,No
3780-YVMFA,Female,0.0,Yes,Yes,,Yes,No,DSL,No,No,,,Yes,Yes,Month-to-month,Yes,,,568.9660935631128,No
3874-EQOEP,Male,0.0,No,No,9.236002772877315,Yes,,Fiber optic,No,,No,No,Yes,Yes,Month-to-month,No,Mailed check,,663.9201295014989,Yes
1679-JRFBR,Female,,,Yes,73.26876912162712,Yes,Yes,Fiber optic,Yes,,Yes,,Yes,Yes,One year,Yes,Credit card (automatic),129.77983281253736,,No
9073-ZZIAY,Male,0.0,Yes,,86.54866031871671,Yes,,DSL,,Yes,Yes,Yes,,Yes,Two year,No,,80.03890614439037,5195.313831561619,No
3077-RSNTJ,Female,,Yes,Yes,,,No,No,No internet service,No,No internet service,No internet service,No internet service,,Month-to-month,,Mailed check,3.1197066910787328,116.2084440910086,No
6551-GNYDG,Female,0.0,Yes,,23.932547794955752,Yes,No,Fiber optic,No,No,No,No,,Yes,,Yes,,94.58640441959227,1163.0312412697335,No
9167-APMXZ,Female,0.0,No,,,,Yes,Fiber optic,No,,No,No,Yes,No,Month-to-month,Yes,,,1827.1323539334746,No
2749-CTKAJ,Male,0.0,,Yes,21.734886134376918,Yes,No,No,,No,No internet service,,,No internet service,One year,,Mailed check,,438.184227014688,No
6371-NZYEG,Male,,Yes,Yes,22.691255185518692,,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,100.81082176955223,1023.2126613522036,No
7554-NEWDD,Male,0.0,,,4.129017904447539,Yes,,,,,,No internet service,No internet service,,Two year,No,Bank transfer (automatic),2.224541724087601,246.3102586919219,No
8992-VONJD,,0.0,,Yes,2.235577780602558,Yes,No,,Yes,,No,No,No,No,Month-to-month,Yes,Electronic check,37.83634417197089,766.9656404690081,No
0867-MKZVY,Female,0.0,Yes,No,7.971529805887236,Yes,Yes,Fiber optic,Yes,No,,No,No,No,Month-to-month,No,Electronic check,84.49667501362306,1588.3062783656078,Yes
4482-EWFMI,Female,0.0,No,No,-1.9711987097571466,Yes,,Fiber optic,No,No,No,No,No,No,,,Electronic check,72.24378891606989,139.6590464450223,No
4648-YPBTM,Male,0.0,,No,55.84304377276896,,,DSL,,Yes,Yes,,No,Yes,Two year,Yes,Bank transfer (automatic),,3969.4754689024426,No
2907-ILJBN,Female,0.0,Yes,Yes,,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,1.7769228078395791,239.55374991901596,No
6345-FZOQH,Male,,Yes,No,51.2990736872197,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,,No,Mailed check,21.16564496937794,1363.8291084097973,No
3376-BMGFE,Female,0.0,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),73.8163655623989,,Yes
